Year,Genre,Average Score,Count
1970.0,Comedy,6.3475,8
1971.0,Comedy,6.34625,8
1972.0,Comedy,6.3420000000000005,5
1972.0,Action,6.903999999999999,5
1972.0,Adventure,6.217142857142856,7
1973.0,Comedy,6.464,5
1973.0,Adventure,6.587142857142858,7
1973.0,Sci-Fi,6.390000000000001,5
1974.0,Comedy,6.187777777777778,9
1974.0,Action,6.543333333333333,6
1974.0,Adventure,6.233333333333333,9
1974.0,Sci-Fi,6.428888888888888,9
1975.0,Comedy,6.554,5
1975.0,Adventure,6.465833333333333,12
1975.0,Sci-Fi,6.94,5
1975.0,Shounen,6.8950000000000005,6
1976.0,Action,6.297777777777777,9
1976.0,Adventure,6.539166666666666,12
1976.0,Sci-Fi,6.41,9
1976.0,Slice of Life,6.336,5
1977.0,Comedy,6.435,6
1977.0,Action,6.803,10
1977.0,Adventure,6.895555555555556,9
1977.0,Sci-Fi,6.567777777777778,9
1977.0,Drama,6.9319999999999995,10
1977.0,Shounen,6.578571428571428,7
1978.0,Action,7.109999999999999,6
1978.0,Adventure,7.243333333333332,12
1978.0,Sci-Fi,7.3,10
1978.0,Drama,7.297272727272727,11
1979.0,Action,6.771428571428571,7
1979.0,Adventure,6.4975000000000005,16
1979.0,Sci-Fi,6.814,10
1979.0,Drama,6.696363636363637,11
1980.0,Comedy,6.528181818181817,11
1980.0,Action,7.0777777777777775,9
1980.0,Adventure,6.65,14
1980.0,Fantasy,6.593999999999999,5
1980.0,Sci-Fi,6.805714285714286,7
1980.0,Drama,7.047142857142858,7
1980.0,Shounen,7.3420000000000005,5
1980.0,Slice of Life,7.122,5
1981.0,Comedy,6.861999999999999,10
1981.0,Action,6.961999999999999,10
1981.0,Adventure,6.923076923076923,13
1981.0,Sci-Fi,6.940714285714286,14
1981.0,Drama,7.19125,8
1981.0,Shounen,6.974285714285714,7
1981.0,Slice of Life,6.83375,8
1982.0,Comedy,6.545833333333333,12
1982.0,Action,6.825555555555556,9
1982.0,Adventure,6.806666666666666,12
1982.0,Sci-Fi,6.859166666666667,12
1982.0,Slice of Life,6.378,5
1983.0,Comedy,6.744615384615385,13
1983.0,Action,6.958571428571427,14
1983.0,Adventure,6.8707692307692305,13
1983.0,Fantasy,6.578571428571428,7
1983.0,Sci-Fi,6.816153846153845,13
1983.0,Drama,7.087999999999999,5
1983.0,Romance,7.0425,8
1983.0,Shounen,7.214285714285714,7
1983.0,School,7.192,5
1984.0,Comedy,6.303333333333334,18
1984.0,Action,6.717368421052631,19
1984.0,Adventure,6.66375,16
1984.0,Fantasy,6.543333333333333,6
1984.0,Sci-Fi,6.556,15
1984.0,Drama,6.924285714285714,7
1984.0,Romance,6.830000000000001,5
1984.0,Shounen,6.672,5
1985.0,Comedy,6.85875,8
1985.0,Action,6.3183333333333325,6
1985.0,Adventure,6.575,10
1985.0,Sci-Fi,6.54357142857143,14
1985.0,Drama,7.684,5
1985.0,Romance,7.05,8
1985.0,Shounen,7.51,5
1986.0,Comedy,6.7075,12
1986.0,Action,6.380909090909091,11
1986.0,Adventure,6.890909090909091,11
1986.0,Fantasy,6.859,10
1986.0,Sci-Fi,6.677000000000001,10
1986.0,Drama,6.965454545454546,11
1986.0,Romance,6.7316666666666665,6
1986.0,Shounen,7.295714285714285,7
1986.0,Slice of Life,7.159999999999999,5
1987.0,Comedy,6.860666666666668,15
1987.0,Action,6.5,10
1987.0,Adventure,6.74909090909091,11
1987.0,Fantasy,6.542857142857144,7
1987.0,Sci-Fi,6.583,10
1987.0,Drama,6.811111111111111,9
1987.0,Shounen,7.021666666666667,6
