Entity,Year,CO2_per_capita,Population,Poverty_rate
Albania,1996,0.6216071,3245632,0.534846
Albania,2002,1.1959839,3134049,1.0926474
Albania,2005,1.3853261,3076108,0.5910857
Albania,2008,1.4691683,2992879,0.19992515
Albania,2012,1.6667176,2909947,0.6206909
Albania,2014,2.0662165,2903689,1.0231007
Albania,2015,1.6256682,2898589,0.096067496
Albania,2016,1.5984385,2897815,0.13930316
Albania,2017,1.8263237,2898198,0.39256993
Albania,2018,1.6913085,2894181,0.04810705
Albania,2020,1.640428,2871900,0.021277364
Algeria,1988,3.471996,24109485,6.42
Algeria,1995,3.3992414,28470152,6.119
Angola,2000,0.9876686,16194813,21.360565
Angola,2008,0.86892325,21578610,14.589688
Angola,2018,0.74464995,31297103,31.122005
Armenia,1999,0.95989335,3167231,11.899414
Armenia,2001,1.1453818,3084300,13.9747505
Armenia,2002,1.0069385,3055592,9.966604
Armenia,2003,1.1370969,3038932,7.5395174
Armenia,2004,1.2212437,3022490,5.317806
Armenia,2005,1.4556637,3006305,2.6295705
Armenia,2006,1.4719477,2990317,1.9985934
Armenia,2007,1.7144848,2974777,1.5362027
Armenia,2008,1.8834113,2959943,0.8796942
Armenia,2009,1.4813764,2945458,1.2476557
Armenia,2010,1.450935,2931041,0.9514653
Armenia,2011,1.6997997,2923214,1.1850709
Armenia,2012,1.966913,2922474,0.8322223
Armenia,2013,1.8939363,2922487,1.7382652
Armenia,2014,1.9176472,2922390,1.4391431
Armenia,2015,1.8723351,2921124,1.1463602
Armenia,2016,1.7826151,2918753,1.1079466
Armenia,2017,1.9006206,2914918,0.7856546
Armenia,2018,2.0008378,2909917,1.339821
Armenia,2019,2.164008,2903922,1.0300698
Armenia,2020,2.3506444,2890849,0.3520105
Armenia,2021,2.5840976,2870293,0.5235208
Armenia,2022,2.4869792,2880829,0.7810783
Australia,1981,14.302475,14949155,0.9935031
Australia,1985,14.180364,15835693,1.0013098
Australia,1989,15.225086,16869306,0.744275
Australia,1995,16.858295,18095295,0.74978226
Australia,2001,18.475426,19365383,0.7474116
Australia,2003,18.649893,19819398,0.9973307
Australia,2004,19.113388,20046631,0.7125372
Australia,2008,18.943853,21370545,0.36123243
Australia,2010,18.297338,22141527,0.34916842
Australia,2014,16.644192,23595552,0.4984838
Australia,2016,16.867634,24329914,0.49874178
Australia,2018,16.544464,25119651,0.49709398
Austria,1994,7.694959,7938100,0.23091485
Austria,1997,8.44466,7969749,0.24598348
Austria,1998,8.3897295,7978413,0.23944513
Austria,1999,8.214791,7993849,0.22600505
Austria,2003,9.528542,8122551,0.33220324
Austria,2004,9.505598,8173453,0.08165289
Austria,2005,9.611182,8229148,0.1536901
Austria,2006,9.288154,8269852,0.090110004
Austria,2007,8.932517,8296906,0.37229174
Austria,2008,8.829531,8323196,0.47116703
Austria,2009,8.065482,8345019,0.6562347
Austria,2010,8.608234,8365050,0.49070254
Austria,2011,8.328318,8393226,0.41540423
Austria,2012,7.9788947,8431540,0.6169174
Austria,2013,7.990079,8481365,0.33799785
Austria,2014,7.5067415,8547760,0.22426021
Austria,2015,7.6767244,8643981,0.677193
Austria,2016,7.6926365,8737874,0.6640636
Austria,2017,7.910056,8798734,0.3180896
Austria,2018,7.528234,8841608,0.56835836
Austria,2019,7.650861,8880830,0.6406389
Austria,2020,6.9693084,8921362,0.68357754
Austria,2021,7.333269,8967006,0.4858222
Azerbaijan,1995,4.3151097,7719236,12.420592
Azerbaijan,2001,3.4435794,8251722,6.1576586
Azerbaijan,2002,3.4314227,8326090,0.07950147
Azerbaijan,2003,3.6292644,8400486,0.050580967
Bangladesh,1983,0.085889466,95335110,37.284
Bangladesh,1985,0.10163369,100253773,31.957998
Bangladesh,1988,0.125713,107215958,41.737
Bangladesh,1991,0.12965424,113787065,41.944866
Bangladesh,1995,0.17174809,122600315,33.668743
Bangladesh,2000,0.19725306,134544254,33.321335
Bangladesh,2005,0.26062736,144715747,23.96659
Bangladesh,2010,0.35502523,152201922,18.223856
Bangladesh,2016,0.5084299,160811890,13.468303
Bangladesh,2022,0.67221427,169384838,5.008496
Belarus,1998,5.959356,10080527,21.763365
Belarus,1999,5.77393,10039177,19.192299
Belarus,2000,5.4954047,9991254,13.642426
Belarus,2001,5.433976,9938024,6.624224
Belarus,2002,5.4534535,9873403,4.394347
Belarus,2003,5.619438,9803112,3.5103552
Belarus,2004,5.9839034,9735039,1.3008308
Belarus,2005,6.134842,9667778,0.89088666
Belarus,2006,6.426269,9607999,0.39857948
Belarus,2007,6.2969413,9563078,0.21858977
