Year,Genre,Percentage,Count
1970.0,Comedy,25.0,8
1970.0,Action,6.25,2
1970.0,Adventure,3.125,1
1970.0,Fantasy,3.125,1
1970.0,Sci-Fi,0.0,0
1970.0,Drama,6.25,2
1970.0,Romance,3.125,1
1970.0,Shounen,6.25,2
1970.0,Slice of Life,9.375,3
1970.0,School,0.0,0
1971.0,Comedy,19.51219512195122,8
1971.0,Action,7.317073170731707,3
1971.0,Adventure,9.75609756097561,4
1971.0,Fantasy,2.4390243902439024,1
1971.0,Sci-Fi,4.878048780487805,2
1971.0,Drama,4.878048780487805,2
1971.0,Romance,2.4390243902439024,1
1971.0,Shounen,2.4390243902439024,1
1971.0,Slice of Life,4.878048780487805,2
1971.0,School,7.317073170731707,3
1972.0,Comedy,11.363636363636363,5
1972.0,Action,11.363636363636363,5
1972.0,Adventure,15.909090909090908,7
1972.0,Fantasy,6.8181818181818175,3
1972.0,Sci-Fi,6.8181818181818175,3
1972.0,Drama,2.272727272727273,1
1972.0,Romance,2.272727272727273,1
1972.0,Shounen,9.090909090909092,4
1972.0,Slice of Life,4.545454545454546,2
1972.0,School,0.0,0
1973.0,Comedy,10.869565217391305,5
1973.0,Action,8.695652173913043,4
1973.0,Adventure,15.217391304347828,7
1973.0,Fantasy,8.695652173913043,4
1973.0,Sci-Fi,10.869565217391305,5
1973.0,Drama,2.1739130434782608,1
1973.0,Romance,2.1739130434782608,1
1973.0,Shounen,6.521739130434782,3
1973.0,Slice of Life,0.0,0
1973.0,School,4.3478260869565215,2
1974.0,Comedy,14.0625,9
1974.0,Action,9.375,6
1974.0,Adventure,14.0625,9
1974.0,Fantasy,3.125,2
1974.0,Sci-Fi,14.0625,9
1974.0,Drama,6.25,4
1974.0,Romance,0.0,0
1974.0,Shounen,6.25,4
1974.0,Slice of Life,4.6875,3
1974.0,School,0.0,0
1975.0,Comedy,7.6923076923076925,5
1975.0,Action,6.153846153846154,4
1975.0,Adventure,18.461538461538463,12
1975.0,Fantasy,3.076923076923077,2
1975.0,Sci-Fi,7.6923076923076925,5
1975.0,Drama,4.615384615384616,3
1975.0,Romance,1.5384615384615385,1
1975.0,Shounen,9.230769230769232,6
1975.0,Slice of Life,4.615384615384616,3
1975.0,School,0.0,0
1976.0,Comedy,4.819277108433735,4
1976.0,Action,10.843373493975903,9
1976.0,Adventure,14.457831325301203,12
1976.0,Fantasy,3.614457831325301,3
1976.0,Sci-Fi,10.843373493975903,9
1976.0,Drama,4.819277108433735,4
1976.0,Romance,1.2048192771084338,1
1976.0,Shounen,4.819277108433735,4
1976.0,Slice of Life,6.024096385542169,5
1976.0,School,1.2048192771084338,1
1977.0,Comedy,6.0,6
1977.0,Action,10.0,10
1977.0,Adventure,9.0,9
1977.0,Fantasy,1.0,1
1977.0,Sci-Fi,9.0,9
1977.0,Drama,10.0,10
1977.0,Romance,0.0,0
1977.0,Shounen,7.000000000000001,7
1977.0,Slice of Life,3.0,3
1977.0,School,1.0,1
1978.0,Comedy,2.5316455696202533,2
1978.0,Action,7.59493670886076,6
1978.0,Adventure,15.18987341772152,12
1978.0,Fantasy,1.2658227848101267,1
1978.0,Sci-Fi,12.658227848101266,10
1978.0,Drama,13.924050632911392,11
1978.0,Romance,3.79746835443038,3
1978.0,Shounen,5.063291139240507,4
1978.0,Slice of Life,3.79746835443038,3
1978.0,School,2.5316455696202533,2
1979.0,Comedy,4.040404040404041,4
1979.0,Action,7.07070707070707,7
1979.0,Adventure,16.161616161616163,16
1979.0,Fantasy,4.040404040404041,4
1979.0,Sci-Fi,10.1010101010101,10
1979.0,Drama,11.11111111111111,11
1979.0,Romance,2.0202020202020203,2
1979.0,Shounen,4.040404040404041,4
1979.0,Slice of Life,2.0202020202020203,2
1979.0,School,0.0,0
1980.0,Comedy,10.576923076923077,11
1980.0,Action,8.653846153846153,9
1980.0,Adventure,13.461538461538462,14
1980.0,Fantasy,4.807692307692308,5
