name,score,total_runtime,type,episodes,duration_minutes
Cowboy Bebop,8.81,624.0,TV,26.0,24.0
Trigun,8.3,624.0,TV,26.0,24.0
Witch Hunter Robin,7.33,650.0,TV,26.0,25.0
Bouken Ou Beet,7.03,1196.0,TV,52.0,23.0
Hachimitsu to Clover,8.12,552.0,TV,24.0,23.0
Hungry Heart: Wild Striker,7.67,1196.0,TV,52.0,23.0
Initial D Fourth Stage,8.23,648.0,TV,24.0,27.0
Monster,8.69,1776.0,TV,74.0,24.0
One Piece,8.53,24.0,TV,,24.0
Tennis no Ouji-sama,8.0,3916.0,TV,178.0,22.0
Ring ni Kakero 1,6.54,300.0,TV,12.0,25.0
Sunabouzu,7.5,576.0,TV,24.0,24.0
Texhnolyze,7.78,506.0,TV,22.0,23.0
Trinity Blood,7.4,576.0,TV,24.0,24.0
Yakitate!! Japan,8.01,1656.0,TV,69.0,24.0
Zipang,7.54,624.0,TV,26.0,24.0
Neon Genesis Evangelion,8.33,624.0,TV,26.0,24.0
Kenpuu Denki Berserk,8.47,625.0,TV,25.0,25.0
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.78,120.0,OVA,4.0,30.0
Rurouni Kenshin: Meiji Kenkaku Romantan,8.39,2350.0,TV,94.0,25.0
.hack//Sign,7.08,624.0,TV,26.0,24.0
Aa! Megami-sama! (TV),7.42,576.0,TV,24.0,24.0
Tenshi Kinryouku,6.4,90.0,OVA,3.0,30.0
Ai Yori Aoshi,7.2,552.0,TV,24.0,23.0
Arc the Lad,6.59,572.0,TV,26.0,22.0
Avenger,5.96,312.0,TV,13.0,24.0
Beck,8.36,650.0,TV,26.0,25.0
Blue Gender,7.11,598.0,TV,26.0,23.0
Chobits,7.51,624.0,TV,26.0,24.0
Chrno Crusade,7.75,552.0,TV,24.0,23.0
D.N.Angel,7.3,598.0,TV,26.0,23.0
D.C.: Da Capo,6.86,624.0,TV,26.0,24.0
DearS,6.73,276.0,TV,12.0,23.0
Rozen Maiden,7.52,288.0,TV,12.0,24.0
Rozen Maiden: Träumend,7.73,288.0,TV,12.0,24.0
Basilisk: Kouga Ninpou Chou,7.64,576.0,TV,24.0,24.0
Cluster Edge,6.44,600.0,TV,25.0,24.0
Full Metal Panic!,7.74,576.0,TV,24.0,24.0
Full Metal Panic? Fumoffu,8.14,288.0,TV,12.0,24.0
Full Metal Panic! The Second Raid,8.02,312.0,TV,13.0,24.0
Soukyuu no Fafner: Dead Aggressor,7.35,600.0,TV,25.0,24.0
Mahou Shoujo Lyrical Nanoha,7.48,325.0,TV,13.0,25.0
Mahou Shoujo Lyrical Nanoha A's,8.05,325.0,TV,13.0,25.0
Shuffle!,7.21,552.0,TV,24.0,23.0
Mobile Suit Gundam,7.85,1075.0,TV,43.0,25.0
Mobile Suit Gundam: The 08th MS Team,8.09,288.0,OVA,12.0,24.0
Mobile Suit Gundam 0080: War in the Pocket,7.88,162.0,OVA,6.0,27.0
Mobile Suit Gundam 0083: Stardust Memory,7.4,390.0,OVA,13.0,30.0
Mobile Suit Zeta Gundam,7.99,1200.0,TV,50.0,24.0
Mobile Suit Gundam ZZ,6.73,1128.0,TV,47.0,24.0
Mobile Suit Victory Gundam,6.85,1224.0,TV,51.0,24.0
Mobile Suit Gundam Wing,7.82,1176.0,TV,49.0,24.0
Mobile Suit Gundam Wing: Endless Waltz,7.85,90.0,OVA,3.0,30.0
After War Gundam X,7.36,936.0,TV,39.0,24.0
Mobile Suit Gundam SEED Destiny,7.3,1200.0,TV,50.0,24.0
Turn A Gundam,7.73,1200.0,TV,50.0,24.0
Mobile Fighter G Gundam,7.6,1176.0,TV,49.0,24.0
Last Exile,7.89,624.0,TV,26.0,24.0
Mai-HiME,7.53,598.0,TV,26.0,23.0
Mai-Otome,7.36,624.0,TV,26.0,24.0
Air,7.41,288.0,TV,12.0,24.0
Aishiteruze Baby★★,7.54,650.0,TV,26.0,25.0
Akazukin Chacha,7.46,1776.0,TV,74.0,24.0
Ayashi no Ceres,7.33,504.0,TV,24.0,21.0
Boys Be...,6.52,299.0,TV,13.0,23.0
Hana yori Dango,7.84,1275.0,TV,51.0,25.0
Ou Dorobou Jing,7.31,312.0,TV,13.0,24.0
Ou Dorobou Jing in Seventh Heaven,7.37,90.0,OVA,3.0,30.0
Bakuretsu Tenshi,6.89,552.0,TV,24.0,23.0
Chuuka Ichiban!,7.7,1196.0,TV,52.0,23.0
Chou Henshin Cosprayers,5.03,112.0,TV,8.0,14.0
Uchuu no Stellvia,7.44,598.0,TV,26.0,23.0
Sakigake!! Cromartie Koukou,7.99,312.0,TV,26.0,12.0
El Hazard: The Alternative World,6.9,325.0,TV,13.0,25.0
El Hazard: The Wanderers,7.04,598.0,TV,26.0,23.0
El Hazard: The Magnificent World,7.39,238.0,OVA,7.0,34.0
El Hazard 2: The Magnificent World,6.94,120.0,OVA,4.0,30.0
Final Approach,6.63,182.0,TV,13.0,14.0
Fruits Basket,7.77,624.0,TV,26.0,24.0
Fullmetal Alchemist,8.28,1224.0,TV,51.0,24.0
Full Moon wo Sagashite,8.04,1248.0,TV,52.0,24.0
Fushigi Yuugi,7.75,1196.0,TV,52.0,23.0
Fushigi Yuugi: Eikouden,6.96,120.0,OVA,4.0,30.0
Futakoi,6.57,312.0,TV,13.0,24.0
Futakoi Alternative,6.98,312.0,TV,13.0,24.0
Gate Keepers,7.04,600.0,TV,24.0,25.0
Gate Keepers 21,6.85,180.0,OVA,6.0,30.0
Gensoumaden Saiyuuki,7.67,1150.0,TV,50.0,23.0
Saiyuuki Reload,7.5,575.0,TV,25.0,23.0
Saiyuuki Reload Gunlock,7.51,624.0,TV,26.0,24.0
GetBackers,7.68,1176.0,TV,49.0,24.0
Green Green,6.34,288.0,TV,12.0,24.0
Gunslinger Girl,7.5,312.0,TV,13.0,24.0
Hikaru no Go,8.16,1725.0,TV,75.0,23.0
Hunter x Hunter,8.47,1426.0,TV,62.0,23.0
Hunter x Hunter: Yorkshin City Kanketsu-hen,8.38,192.0,OVA,8.0,24.0
Hunter x Hunter: Greed Island,8.3,176.0,OVA,8.0,22.0
Hunter x Hunter: Greed Island Final,8.37,336.0,OVA,14.0,24.0
Kamikaze Kaitou Jeanne,7.52,1056.0,TV,44.0,24.0
Kannazuki no Miko,6.98,288.0,TV,12.0,24.0
Kanon,7.2,312.0,TV,13.0,24.0
Kareshi Kanojo no Jijou,7.64,624.0,TV,26.0,24.0
Kono Minikuku mo Utsukushii Sekai,6.85,288.0,TV,12.0,24.0
Kita e.: Diamond Dust Drops,6.7,288.0,TV,12.0,24.0
Loveless,7.08,288.0,TV,12.0,24.0
Blood+,7.75,1200.0,TV,50.0,24.0
Re: Cutey Honey,7.15,138.0,OVA,3.0,46.0
Solty Rei,7.33,552.0,TV,24.0,23.0
Juuni Kokuki,8.12,1125.0,TV,45.0,25.0
Shaman King,7.83,1472.0,TV,64.0,23.0
X,7.51,576.0,TV,24.0,24.0
Mahou Sensei Negima!,7.06,598.0,TV,26.0,23.0
Maria-sama ga Miteru,7.43,312.0,TV,13.0,24.0
Boukyaku no Senritsu,6.39,552.0,TV,24.0,23.0
