name,score,episodes,episode_group,type
Cowboy Bebop,8.81,26.0,14-26,TV
Trigun,8.3,26.0,14-26,TV
Witch Hunter Robin,7.33,26.0,14-26,TV
Bouken Ou Beet,7.03,52.0,27-52,TV
Hachimitsu to Clover,8.12,24.0,14-26,TV
Hungry Heart: Wild Striker,7.67,52.0,27-52,TV
Initial D Fourth Stage,8.23,24.0,14-26,TV
Monster,8.69,74.0,53-100,TV
Ring ni Kakero 1,6.54,12.0,7-13,TV
Sunabouzu,7.5,24.0,14-26,TV
Texhnolyze,7.78,22.0,14-26,TV
Trinity Blood,7.4,24.0,14-26,TV
Yakitate!! Japan,8.01,69.0,53-100,TV
Zipang,7.54,26.0,14-26,TV
Neon Genesis Evangelion,8.33,26.0,14-26,TV
Kenpuu Denki Berserk,8.47,25.0,14-26,TV
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.78,4.0,2-6,OVA
Rurouni Kenshin: Meiji Kenkaku Romantan,8.39,94.0,53-100,TV
.hack//Sign,7.08,26.0,14-26,TV
Aa! Megami-sama! (TV),7.42,24.0,14-26,TV
Tenshi Kinryouku,6.4,3.0,2-6,OVA
Ai Yori Aoshi,7.2,24.0,14-26,TV
Arc the Lad,6.59,26.0,14-26,TV
Avenger,5.96,13.0,7-13,TV
Beck,8.36,26.0,14-26,TV
Blue Gender,7.11,26.0,14-26,TV
Chobits,7.51,26.0,14-26,TV
Chrno Crusade,7.75,24.0,14-26,TV
D.N.Angel,7.3,26.0,14-26,TV
D.C.: Da Capo,6.86,26.0,14-26,TV
DearS,6.73,12.0,7-13,TV
Rozen Maiden,7.52,12.0,7-13,TV
Rozen Maiden: Träumend,7.73,12.0,7-13,TV
Basilisk: Kouga Ninpou Chou,7.64,24.0,14-26,TV
Cluster Edge,6.44,25.0,14-26,TV
Full Metal Panic!,7.74,24.0,14-26,TV
Full Metal Panic? Fumoffu,8.14,12.0,7-13,TV
Full Metal Panic! The Second Raid,8.02,13.0,7-13,TV
Soukyuu no Fafner: Dead Aggressor,7.35,25.0,14-26,TV
Mahou Shoujo Lyrical Nanoha,7.48,13.0,7-13,TV
Mahou Shoujo Lyrical Nanoha A's,8.05,13.0,7-13,TV
Shuffle!,7.21,24.0,14-26,TV
Mobile Suit Gundam,7.85,43.0,27-52,TV
Mobile Suit Gundam: The 08th MS Team,8.09,12.0,7-13,OVA
Mobile Suit Gundam 0080: War in the Pocket,7.88,6.0,2-6,OVA
Mobile Suit Gundam 0083: Stardust Memory,7.4,13.0,7-13,OVA
Mobile Suit Zeta Gundam,7.99,50.0,27-52,TV
Mobile Suit Gundam ZZ,6.73,47.0,27-52,TV
Mobile Suit Victory Gundam,6.85,51.0,27-52,TV
Mobile Suit Gundam Wing,7.82,49.0,27-52,TV
Mobile Suit Gundam Wing: Endless Waltz,7.85,3.0,2-6,OVA
After War Gundam X,7.36,39.0,27-52,TV
Mobile Suit Gundam SEED Destiny,7.3,50.0,27-52,TV
Turn A Gundam,7.73,50.0,27-52,TV
Mobile Fighter G Gundam,7.6,49.0,27-52,TV
Last Exile,7.89,26.0,14-26,TV
Mai-HiME,7.53,26.0,14-26,TV
Mai-Otome,7.36,26.0,14-26,TV
Air,7.41,12.0,7-13,TV
Aishiteruze Baby★★,7.54,26.0,14-26,TV
Akazukin Chacha,7.46,74.0,53-100,TV
Ayashi no Ceres,7.33,24.0,14-26,TV
Boys Be...,6.52,13.0,7-13,TV
Hana yori Dango,7.84,51.0,27-52,TV
Ou Dorobou Jing,7.31,13.0,7-13,TV
Ou Dorobou Jing in Seventh Heaven,7.37,3.0,2-6,OVA
Bakuretsu Tenshi,6.89,24.0,14-26,TV
Chuuka Ichiban!,7.7,52.0,27-52,TV
Chou Henshin Cosprayers,5.03,8.0,7-13,TV
Uchuu no Stellvia,7.44,26.0,14-26,TV
Sakigake!! Cromartie Koukou,7.99,26.0,14-26,TV
El Hazard: The Alternative World,6.9,13.0,7-13,TV
El Hazard: The Wanderers,7.04,26.0,14-26,TV
El Hazard: The Magnificent World,7.39,7.0,7-13,OVA
El Hazard 2: The Magnificent World,6.94,4.0,2-6,OVA
Final Approach,6.63,13.0,7-13,TV
Fruits Basket,7.77,26.0,14-26,TV
Fullmetal Alchemist,8.28,51.0,27-52,TV
Full Moon wo Sagashite,8.04,52.0,27-52,TV
Fushigi Yuugi,7.75,52.0,27-52,TV
Fushigi Yuugi: Eikouden,6.96,4.0,2-6,OVA
Futakoi,6.57,13.0,7-13,TV
Futakoi Alternative,6.98,13.0,7-13,TV
Gate Keepers,7.04,24.0,14-26,TV
Gate Keepers 21,6.85,6.0,2-6,OVA
Gensoumaden Saiyuuki,7.67,50.0,27-52,TV
Saiyuuki Reload,7.5,25.0,14-26,TV
Saiyuuki Reload Gunlock,7.51,26.0,14-26,TV
GetBackers,7.68,49.0,27-52,TV
Green Green,6.34,12.0,7-13,TV
Gunslinger Girl,7.5,13.0,7-13,TV
Hikaru no Go,8.16,75.0,53-100,TV
Hunter x Hunter,8.47,62.0,53-100,TV
Hunter x Hunter: Yorkshin City Kanketsu-hen,8.38,8.0,7-13,OVA
Hunter x Hunter: Greed Island,8.3,8.0,7-13,OVA
Hunter x Hunter: Greed Island Final,8.37,14.0,14-26,OVA
Kamikaze Kaitou Jeanne,7.52,44.0,27-52,TV
Kannazuki no Miko,6.98,12.0,7-13,TV
Kanon,7.2,13.0,7-13,TV
Kareshi Kanojo no Jijou,7.64,26.0,14-26,TV
Kono Minikuku mo Utsukushii Sekai,6.85,12.0,7-13,TV
Kita e.: Diamond Dust Drops,6.7,12.0,7-13,TV
Loveless,7.08,12.0,7-13,TV
Blood+,7.75,50.0,27-52,TV
Re: Cutey Honey,7.15,3.0,2-6,OVA
Solty Rei,7.33,24.0,14-26,TV
Juuni Kokuki,8.12,45.0,27-52,TV
Shaman King,7.83,64.0,53-100,TV
X,7.51,24.0,14-26,TV
Mahou Sensei Negima!,7.06,26.0,14-26,TV
Maria-sama ga Miteru,7.43,13.0,7-13,TV
Boukyaku no Senritsu,6.39,24.0,14-26,TV
"Ima, Soko ni Iru Boku",7.73,13.0,7-13,TV
Peace Maker Kurogane,7.39,24.0,14-26,TV
Pita Ten,7.03,26.0,14-26,TV
Power Stone,6.53,26.0,14-26,TV
RahXephon,7.49,26.0,14-26,TV
Samurai 7,7.56,26.0,14-26,TV
Scrapped Princess,7.47,24.0,14-26,TV
s.CRY.ed,7.43,26.0,14-26,TV
Shingetsutan Tsukihime,7.02,12.0,7-13,TV
Strange Dawn,6.52,13.0,7-13,TV
Tenjou Tenge,7.04,24.0,14-26,TV
Tokyo Underground,6.69,26.0,14-26,TV
Triangle Heart: Sweet Songs Forever,6.24,4.0,2-6,OVA
Tsubasa Chronicle,7.63,26.0,14-26,TV
Ultra Maniac,7.25,26.0,14-26,TV
Vandread,7.28,13.0,7-13,TV
Vandread: The Second Stage,7.49,13.0,7-13,TV
Whistle!,7.49,39.0,27-52,TV
Xenosaga The Animation,6.43,12.0,7-13,TV
Initial D Second Stage,8.16,13.0,7-13,TV
Gosenzo San'e,6.21,4.0,2-6,OVA
Love Hina,7.23,24.0,14-26,TV
Love Hina Again,7.32,3.0,2-6,OVA
Maburaho,6.91,24.0,14-26,TV
Macross Zero,7.62,5.0,2-6,OVA
